
time,ax,ay,az,wx,wy,wz
0.003,-0.30,0.16,-0.48,-0.32,0.01,-0.16
0.004,-0.30,0.16,-0.48,-0.35,0.02,-0.15
0.004,-0.30,0.16,-0.48,-0.38,0.02,-0.15
0.004,-0.30,0.16,-0.48,-0.39,0.03,-0.14
0.004,-0.16,0.23,-0.24,-0.39,0.03,-0.14
0.004,-0.16,0.23,-0.24,-0.41,0.03,-0.14
0.004,-0.07,0.27,0.01,-0.41,0.03,-0.14
0.005,-0.07,0.27,0.01,-0.41,0.03,-0.14
0.005,-0.07,0.27,0.01,-0.42,0.03,-0.14
0.005,-0.00,0.32,0.21,-0.42,0.03,-0.14
0.005,-0.00,0.32,0.21,-0.42,0.04,-0.14
0.01,0.04,0.31,0.38,-0.42,0.04,-0.14
0.01,0.04,0.31,0.38,-0.41,0.04,-0.14
0.016,0.04,0.31,0.38,-0.40,0.04,-0.15
0.017,0.04,0.31,0.38,-0.39,0.05,-0.15
0.017,0.09,0.30,0.50,-0.39,0.05,-0.15
0.017,0.09,0.30,0.50,-0.38,0.06,-0.16
0.017,0.13,0.24,0.45,-0.38,0.06,-0.16
0.024,0.13,0.21,0.36,-0.38,0.06,-0.16
0.024,0.13,0.21,0.36,-0.38,0.07,-0.16
0.024,0.13,0.21,0.36,-0.37,0.07,-0.17
0.025,0.13,0.21,0.36,-0.36,0.07,-0.17
0.025,0.13,0.21,0.36,-0.35,0.06,-0.18
0.026,0.05,0.20,0.31,-0.35,0.06,-0.18
0.029,-0.06,0.27,0.24,-0.35,0.06,-0.18
0.029,-0.06,0.27,0.24,-0.35,0.05,-0.18
0.035,-0.06,0.27,0.24,-0.34,0.04,-0.18
0.035,-0.06,0.27,0.24,-0.34,0.03,-0.19
0.037,-0.19,0.35,0.20,-0.34,0.03,-0.19
0.037,-0.28,0.46,0.14,-0.34,0.03,-0.19
0.037,-0.28,0.46,0.14,-0.34,0.03,-0.19
0.041,-0.28,0.46,0.14,-0.34,0.02,-0.20
0.042,-0.41,0.51,0.05,-0.34,0.02,-0.20
0.042,-0.41,0.51,0.05,-0.34,0.03,-0.20
0.045,-0.41,0.51,0.05,-0.35,0.03,-0.21
0.045,-0.43,0.52,-0.02,-0.35,0.03,-0.21
0.046,-0.43,0.52,-0.02,-0.35,0.04,-0.22
0.049,-0.40,0.52,-0.09,-0.35,0.04,-0.22
0.049,-0.40,0.52,-0.09,-0.37,0.06,-0.23
0.054,-0.40,0.52,-0.09,-0.38,0.07,-0.23
0.054,-0.37,0.52,-0.16,-0.38,0.07,-0.23
0.055,-0.37,0.52,-0.16,-0.39,0.08,-0.24
0.057,-0.31,0.46,-0.22,-0.39,0.08,-0.24
0.057,-0.31,0.46,-0.22,-0.42,0.08,-0.25
0.062,-0.31,0.46,-0.22,-0.44,0.09,-0.26
0.062,-0.31,0.46,-0.22,-0.46,0.10,-0.27
0.062,-0.23,0.37,-0.30,-0.46,0.10,-0.27
0.065,-0.23,0.37,-0.30,-0.49,0.11,-0.27
0.066,-0.13,0.26,-0.34,-0.49,0.11,-0.27
0.066,-0.13,0.26,-0.34,-0.51,0.13,-0.28
0.07,-0.11,0.24,-0.32,-0.51,0.13,-0.28
0.07,-0.11,0.24,-0.32,-0.52,0.14,-0.28
0.073,-0.10,0.25,-0.26,-0.52,0.14,-0.28
0.073,-0.10,0.25,-0.26,-0.54,0.16,-0.29
0.074,-0.10,0.25,-0.26,-0.56,0.17,-0.29
0.077,-0.10,0.25,-0.26,-0.57,0.18,-0.29
0.077,-0.12,0.27,-0.17,-0.57,0.18,-0.29
0.082,-0.12,0.27,-0.17,-0.58,0.19,-0.28
0.082,-0.12,0.27,-0.17,-0.58,0.20,-0.28
0.083,-0.11,0.28,-0.10,-0.58,0.20,-0.28
0.085,-0.11,0.28,-0.10,-0.59,0.21,-0.28
0.085,-0.15,0.31,0.03,-0.59,0.21,-0.28
0.085,-0.15,0.31,0.03,-0.59,0.22,-0.27
0.089,-0.22,0.32,0.11,-0.59,0.22,-0.27
0.089,-0.22,0.32,0.11,-0.58,0.22,-0.26
0.094,-0.21,0.36,0.15,-0.58,0.22,-0.26
0.094,-0.21,0.36,0.15,-0.58,0.22,-0.26
0.095,-0.21,0.36,0.15,-0.57,0.22,-0.26
0.098,-0.20,0.38,0.15,-0.57,0.22,-0.26
0.099,-0.20,0.38,0.15,-0.57,0.22,-0.25
0.104,-0.22,0.40,0.16,-0.57,0.22,-0.25
0.105,-0.22,0.40,0.16,-0.56,0.23,-0.25
0.105,-0.22,0.40,0.16,-0.55,0.23,-0.24
0.107,-0.22,0.40,0.16,-0.54,0.23,-0.24
0.107,-0.22,0.35,0.16,-0.54,0.23,-0.24
0.107,-0.22,0.35,0.16,-0.54,0.23,-0.24
0.11,-0.26,0.29,0.12,-0.54,0.23,-0.24
0.111,-0.26,0.29,0.12,-0.54,0.23,-0.23
0.115,-0.26,0.29,0.12,-0.53,0.23,-0.22
0.115,-0.34,0.23,0.05,-0.53,0.23,-0.22
0.116,-0.37,0.14,-0.03,-0.53,0.23,-0.22
0.12,-0.37,0.14,-0.03,-0.53,0.24,-0.22
0.12,-0.37,0.14,-0.03,-0.53,0.24,-0.21
0.121,-0.40,0.05,-0.11,-0.53,0.24,-0.21
0.121,-0.40,0.05,-0.11,-0.53,0.24,-0.20
0.125,-0.40,0.05,-0.11,-0.53,0.25,-0.19
0.126,-0.42,-0.03,-0.11,-0.53,0.25,-0.19
0.126,-0.42,-0.03,-0.11,-0.54,0.25,-0.17
0.128,-0.42,-0.03,-0.11,-0.54,0.25,-0.16
0.128,-0.36,-0.11,-0.11,-0.54,0.25,-0.16
0.132,-0.36,-0.11,-0.11,-0.55,0.25,-0.15
0.132,-0.36,-0.11,-0.11,-0.56,0.25,-0.13
0.132,-0.40,-0.17,-0.10,-0.56,0.25,-0.13
0.137,-0.40,-0.17,-0.10,-0.56,0.25,-0.12
0.138,-0.40,-0.17,-0.10,-0.57,0.25,-0.11
0.138,-0.41,-0.18,-0.08,-0.57,0.25,-0.11
0.141,-0.45,-0.16,-0.06,-0.57,0.25,-0.11
0.141,-0.45,-0.16,-0.06,-0.57,0.25,-0.10
0.144,-0.45,-0.16,-0.06,-0.58,0.26,-0.09
0.144,-0.45,-0.16,-0.06,-0.58,0.27,-0.07
0.175,-0.51,-0.16,-0.01,-0.58,0.27,-0.07
0.175,-0.51,-0.16,-0.01,-0.59,0.27,-0.06
0.176,-0.48,-0.11,0.03,-0.59,0.27,-0.06
0.176,-0.48,-0.11,0.03,-0.59,0.28,-0.05
0.176,-0.39,-0.06,0.06,-0.59,0.28,-0.05
0.176,-0.39,-0.06,0.06,-0.59,0.28,-0.05
0.176,-0.39,-0.06,0.06,-0.59,0.28,-0.04
0.177,-0.32,-0.00,0.13,-0.59,0.28,-0.04
0.177,-0.32,-0.00,0.13,-0.58,0.29,-0.03
0.177,-0.32,-0.00,0.13,-0.58,0.28,-0.02
0.179,-0.24,0.03,0.21,-0.58,0.28,-0.02
0.18,-0.24,0.03,0.21,-0.57,0.28,-0.01
0.18,-0.24,0.03,0.21,-0.56,0.27,-0.01
0.18,-0.13,0.05,0.26,-0.56,0.27,-0.01
0.18,-0.13,0.05,0.26,-0.55,0.26,-0.01
0.18,-0.02,0.13,0.26,-0.55,0.26,-0.01
0.18,-0.02,0.13,0.26,-0.55,0.25,-0.01
0.181,0.10,0.15,0.28,-0.55,0.25,-0.01
0.181,0.10,0.15,0.28,-0.53,0.25,-0.00
0.181,0.10,0.15,0.28,-0.52,0.25,-0.00
0.181,0.15,0.23,0.38,-0.52,0.25,-0.00
0.181,0.15,0.23,0.38,-0.50,0.24,0.00
0.181,0.15,0.23,0.38,-0.48,0.23,0.00
0.181,0.19,0.30,0.43,-0.48,0.23,0.00
0.184,0.19,0.30,0.43,-0.46,0.23,0.00
0.184,0.24,0.32,0.48,-0.46,0.23,0.00
0.184,0.24,0.32,0.48,-0.43,0.21,0.00
0.187,0.24,0.32,0.48,-0.41,0.19,-0.00
0.187,0.27,0.30,0.50,-0.41,0.19,-0.00
0.191,0.27,0.30,0.50,-0.39,0.17,-0.00
0.191,0.26,0.28,0.46,-0.39,0.17,-0.00
0.191,0.26,0.28,0.46,-0.37,0.16,-0.01
0.196,0.26,0.28,0.46,-0.34,0.15,-0.01
0.196,0.29,0.25,0.41,-0.34,0.15,-0.01
0.196,0.29,0.25,0.41,-0.32,0.13,-0.01
0.2,0.24,0.23,0.39,-0.32,0.13,-0.01
0.2,0.24,0.23,0.39,-0.30,0.12,-0.01
0.203,0.24,0.23,0.39,-0.27,0.11,-0.01
0.203,0.21,0.18,0.35,-0.27,0.11,-0.01
0.204,0.21,0.18,0.35,-0.25,0.09,-0.01
0.207,0.21,0.18,0.35,-0.23,0.07,-0.02
0.207,0.18,0.10,0.30,-0.23,0.07,-0.02
0.211,0.18,0.10,0.30,-0.21,0.05,-0.02
0.211,0.18,0.03,0.26,-0.21,0.05,-0.02
0.212,0.18,0.03,0.26,-0.19,0.03,-0.02
0.216,0.18,0.03,0.26,-0.17,0.01,-0.02
0.216,0.18,0.03,0.26,-0.15,-0.02,-0.02
0.216,0.23,-0.05,0.21,-0.15,-0.02,-0.02
0.22,0.23,-0.05,0.21,-0.14,-0.05,-0.02
0.221,0.32,-0.10,0.14,-0.14,-0.05,-0.02
0.223,0.32,-0.10,0.14,-0.13,-0.07,-0.03
0.224,0.40,-0.12,0.06,-0.13,-0.07,-0.03
0.224,0.40,-0.12,0.06,-0.11,-0.09,-0.03
0.227,0.40,-0.12,0.06,-0.11,-0.10,-0.03
0.228,0.42,-0.13,-0.01,-0.11,-0.10,-0.03
0.231,0.42,-0.13,-0.01,-0.10,-0.12,-0.03
0.231,0.42,-0.13,-0.01,-0.09,-0.13,-0.03
0.232,0.41,-0.20,-0.06,-0.09,-0.13,-0.03
0.236,0.41,-0.20,-0.06,-0.09,-0.14,-0.03
0.237,0.37,-0.19,-0.13,-0.09,-0.14,-0.03
0.237,0.37,-0.19,-0.13,-0.09,-0.14,-0.03
0.241,0.43,-0.24,-0.19,-0.09,-0.14,-0.03
0.242,0.43,-0.24,-0.19,-0.09,-0.15,-0.03
0.245,0.51,-0.24,-0.24,-0.09,-0.15,-0.03
0.245,0.51,-0.24,-0.24,-0.10,-0.15,-0.03
0.245,0.51,-0.24,-0.24,-0.11,-0.15,-0.04
0.247,0.51,-0.24,-0.24,-0.12,-0.15,-0.05
0.248,0.52,-0.26,-0.27,-0.12,-0.15,-0.05
0.251,0.52,-0.26,-0.27,-0.13,-0.15,-0.05
0.253,0.52,-0.26,-0.27,-0.15,-0.16,-0.06
0.254,0.57,-0.25,-0.22,-0.15,-0.16,-0.06
0.256,0.57,-0.25,-0.22,-0.16,-0.15,-0.07
0.256,0.57,-0.25,-0.22,-0.18,-0.15,-0.08
0.257,0.58,-0.27,-0.22,-0.18,-0.15,-0.08
0.261,0.58,-0.27,-0.22,-0.19,-0.15,-0.09
