
time,wx,wy,wz,ax,ay,az
0.006,0.02,-0.07,0.02,0.14,-0.02,-0.37
0.007,0.02,-0.07,0.02,0.04,-0.01,-0.51
0.008,0.00,-0.04,0.02,0.04,-0.01,-0.51
0.009,0.00,-0.04,0.02,-0.01,-0.00,-0.35
0.01,0.00,-0.04,0.02,-0.05,-0.00,0.05
0.011,-0.00,-0.04,0.02,-0.05,-0.00,0.05
0.012,0.01,-0.07,0.02,-0.05,-0.00,0.05
0.013,0.01,-0.07,0.02,-0.05,0.00,0.33
0.014,0.02,-0.11,0.02,-0.05,0.00,0.33
0.015,0.02,-0.11,0.02,-0.02,-0.00,0.20
0.016,0.03,-0.13,0.02,-0.02,-0.00,0.20
0.017,0.03,-0.13,0.02,0.02,-0.01,-0.09
0.024,0.03,-0.13,0.02,0.09,-0.00,-0.25
0.025,0.02,-0.13,0.01,0.09,-0.00,-0.25
0.025,0.02,-0.13,0.01,0.06,0.02,-0.26
0.026,0.01,-0.12,0.01,0.06,0.02,-0.26
0.027,0.01,-0.12,0.01,0.02,0.01,-0.22
0.027,0.00,-0.12,0.01,0.02,0.01,-0.22
0.029,0.00,-0.12,0.01,-0.00,0.02,-0.13
0.029,0.00,-0.12,0.01,-0.00,0.02,-0.13
0.036,0.00,-0.12,0.01,0.06,0.03,-0.14
0.037,0.01,-0.11,0.01,0.06,0.03,-0.14
0.038,0.01,-0.11,0.01,0.10,0.04,-0.14
0.039,0.02,-0.09,0.01,0.10,0.04,-0.14
0.045,0.02,-0.08,0.00,0.10,0.04,-0.14
0.045,0.02,-0.08,0.00,0.11,0.01,-0.04
0.051,0.01,-0.07,0.00,0.11,0.01,-0.04
0.052,0.01,-0.07,0.00,0.14,-0.01,-0.02
0.055,0.01,-0.08,0.00,0.14,-0.01,-0.02
0.055,0.01,-0.08,0.00,0.13,-0.02,-0.04
0.059,0.01,-0.08,0.00,0.14,-0.03,0.02
0.06,0.01,-0.08,-0.00,0.14,-0.03,0.02
0.065,0.01,-0.08,-0.00,0.14,-0.08,0.01
0.066,0.01,-0.08,-0.01,0.14,-0.08,0.01
0.069,0.01,-0.08,-0.01,0.14,-0.08,0.01
0.07,0.01,-0.08,-0.01,0.13,-0.10,0.04
0.074,0.01,-0.08,-0.01,0.13,-0.10,0.04
0.075,0.01,-0.08,-0.01,0.05,-0.11,-0.03
0.079,0.01,-0.08,-0.01,-0.03,-0.07,-0.13
0.08,0.01,-0.08,-0.02,-0.03,-0.07,-0.13
0.084,0.01,-0.06,-0.02,-0.03,-0.07,-0.13
0.085,0.01,-0.06,-0.02,-0.04,-0.04,-0.08
0.089,0.01,-0.05,-0.02,-0.04,-0.04,-0.08
0.09,0.01,-0.05,-0.02,-0.03,-0.04,-0.05
0.094,0.01,-0.05,-0.02,-0.06,-0.02,-0.02
0.095,0.00,-0.04,-0.01,-0.06,-0.02,-0.02
0.108,0.00,-0.04,-0.01,-0.07,-0.01,-0.03
0.11,0.00,-0.04,-0.01,-0.07,-0.01,-0.03
0.111,0.01,-0.03,-0.01,-0.07,-0.01,-0.03
0.112,0.01,-0.03,-0.01,-0.03,-0.02,-0.03
0.112,0.00,-0.02,-0.01,-0.03,-0.02,-0.03
0.114,0.00,-0.02,-0.01,0.01,0.03,-0.05
0.115,0.00,-0.02,-0.01,0.05,0.05,-0.12
0.116,-0.00,-0.02,-0.00,0.05,0.05,-0.12
0.13,-0.00,-0.02,-0.00,0.08,0.08,-0.09
0.132,0.00,0.00,-0.00,0.08,0.08,-0.09
0.133,0.00,0.00,-0.00,0.10,0.09,-0.06
0.135,0.00,0.01,-0.00,0.10,0.09,-0.06
0.136,0.00,0.02,0.00,0.10,0.09,-0.06
0.137,0.00,0.02,0.00,0.14,0.06,-0.07
0.138,0.00,0.03,0.00,0.14,0.06,-0.07
0.139,0.00,0.03,0.00,0.10,0.06,-0.06
0.14,0.01,0.03,0.01,0.10,0.06,-0.06
0.14,0.01,0.03,0.01,0.07,0.08,-0.04
0.144,0.01,0.03,0.01,0.06,0.08,0.00
0.146,0.00,0.03,0.01,0.06,0.08,0.00
0.151,0.00,0.03,0.01,0.06,0.08,0.00
0.152,0.00,0.03,0.01,0.00,0.05,0.04
0.155,0.00,0.03,0.01,-0.01,0.07,0.02
0.156,0.01,0.02,0.01,-0.01,0.07,0.02
0.16,0.01,0.02,0.01,-0.01,0.07,0.02
0.161,0.01,0.02,0.01,-0.02,0.06,0.02
0.165,0.00,0.02,0.01,-0.02,0.06,0.02
0.167,0.00,0.02,0.01,-0.01,0.04,-0.00
0.169,0.00,0.02,0.01,0.00,0.05,-0.03
0.171,0.00,0.02,0.01,0.00,0.05,-0.03
0.174,0.00,0.02,0.01,-0.01,0.04,0.00
0.175,0.00,0.02,0.01,-0.01,0.04,0.00
0.18,0.01,0.02,0.01,-0.01,0.04,0.00
0.181,0.01,0.02,0.01,-0.00,0.02,0.02
0.185,0.01,0.02,0.01,0.01,0.06,0.03
