
time,ax,ay,az,wx,wy,wz
0.107610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.109425,0.0000,0.0000,0.0000,-0.0118,0.0835,-0.0004
0.110629,-0.0861,-0.0145,0.0710,-0.0118,0.0835,-0.0004
0.111760,-0.0861,-0.0145,0.0710,-0.0118,0.0835,-0.0004
0.112462,-0.0861,-0.0145,0.0710,-0.0106,0.0762,-0.0004
0.113332,-0.0838,0.0118,0.1051,-0.0106,0.0762,-0.0004
0.114255,-0.0838,0.0118,0.1051,-0.0106,0.0762,-0.0004
0.114650,-0.0838,0.0118,0.1051,-0.0106,0.0664,-0.0016
0.115129,-0.0460,-0.0185,0.0878,-0.0106,0.0664,-0.0016
0.115666,-0.0460,-0.0185,0.0878,-0.0106,0.0664,-0.0016
0.116138,-0.0460,-0.0185,0.0878,-0.0118,0.0590,-0.0029
0.116631,-0.0513,-0.0111,0.0468,-0.0118,0.0590,-0.0029
0.117099,-0.0513,-0.0111,0.0468,-0.0118,0.0590,-0.0029
0.117485,-0.0513,-0.0111,0.0468,-0.0131,0.0517,-0.0054
0.117921,-0.0119,0.0200,0.0018,-0.0131,0.0517,-0.0054
0.118422,-0.0119,0.0200,0.0018,-0.0131,0.0517,-0.0054
0.118777,-0.0119,0.0200,0.0018,-0.0155,0.0456,-0.0078
0.119262,-0.0315,0.0034,-0.0173,-0.0155,0.0456,-0.0078
0.119762,-0.0315,0.0034,-0.0173,-0.0155,0.0456,-0.0078
0.120185,-0.0315,0.0034,-0.0173,-0.0166,0.0370,-0.0089
0.120693,-0.0146,0.0204,-0.0533,-0.0166,0.0370,-0.0089
0.121144,-0.0146,0.0204,-0.0533,-0.0166,0.0370,-0.0089
0.121497,-0.0146,0.0204,-0.0533,-0.0216,0.0322,-0.0114
0.121969,-0.0086,0.0255,-0.0942,-0.0216,0.0322,-0.0114
0.122395,-0.0086,0.0255,-0.0942,-0.0216,0.0322,-0.0114
0.122729,-0.0086,0.0255,-0.0942,-0.0253,0.0285,-0.0126
0.123167,-0.0029,0.0159,-0.0943,-0.0253,0.0285,-0.0126
0.123563,-0.0029,0.0159,-0.0943,-0.0253,0.0285,-0.0126
0.123859,-0.0029,0.0159,-0.0943,-0.0289,0.0212,-0.0151
0.124260,0.0234,0.0351,-0.0804,-0.0289,0.0212,-0.0151
0.124695,0.0234,0.0351,-0.0804,-0.0289,0.0212,-0.0151
0.125023,0.0234,0.0351,-0.0804,-0.0314,0.0162,-0.0176
0.125550,0.0199,0.0125,-0.1135,-0.0314,0.0162,-0.0176
0.126017,0.0199,0.0125,-0.1135,-0.0314,0.0162,-0.0176
0.126327,0.0199,0.0125,-0.1135,-0.0351,0.0114,-0.0236
0.126741,0.0389,-0.0038,-0.1047,-0.0351,0.0114,-0.0236
