
time,wx,wy,wz,ax,ay,az
0.003,-0.06,-0.02,0.07,0.00,0.27,-1.04
0.004,-0.06,-0.02,0.07,0.08,0.25,-0.87
0.005,-0.06,-0.02,0.07,0.14,0.23,-0.73
0.006,-0.12,-0.02,0.05,0.14,0.23,-0.73
0.008,-0.17,-0.02,0.03,0.14,0.23,-0.73
0.008,-0.17,-0.02,0.03,0.13,0.19,-0.55
0.009,-0.21,-0.00,0.02,0.13,0.19,-0.55
0.009,-0.21,-0.00,0.02,0.09,0.20,-0.37
0.011,-0.21,-0.00,0.02,0.11,0.17,-0.24
0.011,-0.23,0.02,-0.00,0.11,0.17,-0.24
0.016,-0.23,0.02,-0.00,0.12,0.17,-0.16
0.018,-0.25,0.03,-0.02,0.12,0.17,-0.16
0.022,-0.25,0.05,-0.03,0.12,0.17,-0.16
0.023,-0.25,0.05,-0.03,0.10,0.15,-0.06
0.028,-0.25,0.07,-0.04,0.10,0.15,-0.06
0.029,-0.25,0.07,-0.04,0.06,0.15,-0.03
0.031,-0.24,0.08,-0.05,0.06,0.15,-0.03
0.031,-0.24,0.08,-0.05,0.05,0.12,0.05
0.037,-0.22,0.10,-0.05,0.05,0.12,0.05
0.038,-0.22,0.10,-0.05,-0.00,0.12,0.13
0.043,-0.20,0.10,-0.05,-0.00,0.12,0.13
0.044,-0.20,0.10,-0.05,-0.04,0.13,0.12
0.046,-0.18,0.10,-0.05,-0.04,0.13,0.12
0.047,-0.18,0.10,-0.05,-0.08,0.11,0.12
0.051,-0.15,0.10,-0.05,-0.08,0.11,0.12
0.052,-0.15,0.10,-0.05,-0.12,0.10,0.08
0.057,-0.15,0.10,-0.05,-0.14,0.11,0.09
0.058,-0.13,0.09,-0.05,-0.14,0.11,0.09
0.068,-0.13,0.09,-0.05,-0.11,0.06,0.04
0.069,-0.10,0.08,-0.04,-0.11,0.06,0.04
0.07,-0.10,0.08,-0.04,-0.06,0.03,0.01
0.07,-0.08,0.06,-0.04,-0.06,0.03,0.01
0.071,-0.08,0.06,-0.04,-0.07,0.05,-0.00
