
time,ax,ay,az,wx,wy,wz
0.004,0.85,-0.25,0.64,0.25,-0.06,0.37
0.005,0.85,-0.25,0.64,0.25,-0.05,0.37
0.005,0.85,-0.25,0.64,0.26,-0.05,0.37
0.006,0.95,-0.35,0.43,0.26,-0.05,0.37
0.006,0.95,-0.35,0.43,0.26,-0.03,0.37
0.006,0.95,-0.35,0.43,0.27,-0.02,0.37
0.006,0.95,-0.35,0.43,0.27,-0.00,0.36
0.007,1.07,-0.47,0.19,0.27,-0.00,0.36
0.007,1.07,-0.47,0.19,0.28,0.02,0.36
0.007,1.29,-0.64,0.03,0.28,0.02,0.36
0.007,1.29,-0.64,0.03,0.28,0.04,0.34
0.007,1.29,-0.64,0.03,0.29,0.06,0.33
0.008,1.55,-0.77,-0.17,0.29,0.06,0.33
0.008,1.55,-0.77,-0.17,0.29,0.07,0.32
0.008,1.55,-0.77,-0.17,0.29,0.09,0.30
0.008,1.78,-0.87,-0.36,0.29,0.09,0.30
0.008,1.78,-0.87,-0.36,0.29,0.09,0.28
0.009,1.78,-0.87,-0.36,0.28,0.10,0.26
0.009,1.94,-0.95,-0.57,0.28,0.10,0.26
0.009,1.94,-0.95,-0.57,0.27,0.10,0.25
0.011,1.94,-0.95,-0.57,0.26,0.11,0.23
0.013,2.03,-0.97,-0.77,0.26,0.11,0.23
0.013,2.03,-0.97,-0.77,0.25,0.11,0.22
0.015,2.03,-0.97,-0.77,0.24,0.10,0.20
0.018,2.04,-0.93,-0.94,0.24,0.10,0.20
0.018,2.04,-0.93,-0.94,0.22,0.11,0.19
0.019,2.04,-0.93,-0.94,0.21,0.10,0.18
0.021,2.00,-0.84,-1.09,0.21,0.10,0.18
0.021,2.00,-0.84,-1.09,0.19,0.11,0.16
0.023,2.00,-0.84,-1.09,0.18,0.11,0.16
0.025,1.93,-0.71,-1.18,0.18,0.11,0.16
0.025,1.93,-0.71,-1.18,0.16,0.11,0.15
0.027,1.93,-0.71,-1.18,0.14,0.12,0.14
0.029,1.84,-0.53,-1.23,0.14,0.12,0.14
0.029,1.84,-0.53,-1.23,0.13,0.12,0.13
0.031,1.84,-0.53,-1.23,0.11,0.12,0.13
0.034,1.73,-0.35,-1.23,0.11,0.12,0.13
0.034,1.73,-0.35,-1.23,0.10,0.13,0.12
0.035,1.73,-0.35,-1.23,0.08,0.12,0.12
0.037,1.59,-0.19,-1.19,0.08,0.12,0.12
0.037,1.59,-0.19,-1.19,0.06,0.12,0.11
0.039,1.59,-0.19,-1.19,0.04,0.12,0.11
0.041,1.47,-0.08,-1.14,0.04,0.12,0.11
0.041,1.47,-0.08,-1.14,0.03,0.12,0.11
0.043,1.47,-0.08,-1.14,0.01,0.11,0.12
0.045,1.30,-0.05,-1.04,0.01,0.11,0.12
0.045,1.30,-0.05,-1.04,-0.01,0.10,0.12
0.047,1.30,-0.05,-1.04,-0.02,0.09,0.13
0.061,1.01,-0.09,-0.87,-0.02,0.09,0.13
0.062,1.01,-0.09,-0.87,-0.03,0.09,0.14
0.062,1.01,-0.09,-0.87,-0.04,0.08,0.15
0.062,0.73,-0.00,-0.67,-0.04,0.08,0.15
0.063,0.73,-0.00,-0.67,-0.05,0.07,0.15
0.063,0.73,-0.00,-0.67,-0.06,0.05,0.15
0.063,0.64,0.06,-0.49,-0.06,0.05,0.15
0.064,0.64,0.06,-0.49,-0.06,0.04,0.16
0.064,0.64,0.06,-0.49,-0.07,0.02,0.16
0.064,0.62,0.11,-0.36,-0.07,0.02,0.16
0.065,0.62,0.11,-0.36,-0.07,0.01,0.16
0.065,0.62,0.11,-0.36,-0.07,-0.01,0.17
0.065,0.55,0.13,-0.21,-0.07,-0.01,0.17
0.065,0.55,0.13,-0.21,-0.08,-0.02,0.16
0.067,0.55,0.13,-0.21,-0.08,-0.04,0.16
0.069,0.51,0.13,-0.04,-0.08,-0.04,0.16
0.069,0.51,0.13,-0.04,-0.08,-0.05,0.16
0.071,0.51,0.13,-0.04,-0.08,-0.07,0.16
0.073,0.46,0.10,0.12,-0.08,-0.07,0.16
0.073,0.46,0.10,0.12,-0.08,-0.08,0.16
0.075,0.46,0.10,0.12,-0.08,-0.10,0.15
0.077,0.42,0.06,0.28,-0.08,-0.10,0.15
0.077,0.42,0.06,0.28,-0.08,-0.11,0.15
0.079,0.42,0.06,0.28,-0.08,-0.12,0.15
0.081,0.35,0.02,0.41,-0.08,-0.12,0.15
0.081,0.35,0.02,0.41,-0.07,-0.13,0.14
0.086,0.35,0.02,0.41,-0.07,-0.13,0.15
0.086,0.24,0.01,0.53,-0.07,-0.13,0.15
0.087,0.24,0.01,0.53,-0.06,-0.14,0.14
0.087,0.24,0.01,0.53,-0.06,-0.14,0.14
0.089,0.15,-0.02,0.64,-0.06,-0.14,0.14
0.089,0.15,-0.02,0.64,-0.06,-0.14,0.14
0.091,0.15,-0.02,0.64,-0.05,-0.14,0.15
0.093,0.02,-0.00,0.75,-0.05,-0.14,0.15
0.093,0.02,-0.00,0.75,-0.04,-0.14,0.15
0.095,0.02,-0.00,0.75,-0.04,-0.14,0.15
0.097,-0.08,-0.02,0.84,-0.04,-0.14,0.15
0.097,-0.08,-0.02,0.84,-0.03,-0.13,0.16
0.1,-0.08,-0.02,0.84,-0.02,-0.13,0.16
0.101,-0.17,-0.03,0.94,-0.02,-0.13,0.16
0.101,-0.17,-0.03,0.94,-0.00,-0.12,0.17
0.103,-0.17,-0.03,0.94,0.01,-0.12,0.17
0.105,-0.22,-0.03,0.99,0.01,-0.12,0.17
0.105,-0.22,-0.03,0.99,0.02,-0.12,0.18
0.108,-0.22,-0.03,0.99,0.04,-0.11,0.19
0.109,-0.23,-0.04,1.04,0.04,-0.11,0.19
0.109,-0.23,-0.04,1.04,0.05,-0.11,0.19
0.111,-0.23,-0.04,1.04,0.06,-0.11,0.19
0.113,-0.22,-0.02,1.05,0.06,-0.11,0.19
0.113,-0.22,-0.02,1.05,0.08,-0.10,0.20
0.114,-0.22,-0.02,1.05,0.09,-0.10,0.20
0.117,-0.20,-0.02,1.05,0.09,-0.10,0.20
0.117,-0.20,-0.02,1.05,0.11,-0.10,0.20
0.12,-0.20,-0.02,1.05,0.13,-0.10,0.21
0.121,-0.17,0.01,1.01,0.13,-0.10,0.21
0.121,-0.17,0.01,1.01,0.14,-0.09,0.21
0.123,-0.17,0.01,1.01,0.16,-0.09,0.21
0.125,-0.12,0.03,0.94,0.16,-0.09,0.21
0.125,-0.12,0.03,0.94,0.17,-0.09,0.21
0.126,-0.12,0.03,0.94,0.19,-0.08,0.21
0.129,-0.06,0.00,0.84,0.19,-0.08,0.21
0.129,-0.06,0.00,0.84,0.20,-0.07,0.22
0.13,-0.06,0.00,0.84,0.21,-0.07,0.22
0.133,0.01,-0.01,0.72,0.21,-0.07,0.22
0.133,0.01,-0.01,0.72,0.22,-0.07,0.22
0.137,0.01,-0.01,0.72,0.22,-0.06,0.22
0.137,0.06,-0.03,0.58,0.22,-0.06,0.22
0.138,0.06,-0.03,0.58,0.23,-0.05,0.22
0.139,0.06,-0.03,0.58,0.24,-0.05,0.22
0.141,0.13,-0.04,0.43,0.24,-0.05,0.22
0.141,0.13,-0.04,0.43,0.24,-0.05,0.22
0.143,0.13,-0.04,0.43,0.25,-0.04,0.22
0.145,0.18,-0.08,0.29,0.25,-0.04,0.22
0.145,0.18,-0.08,0.29,0.25,-0.04,0.22
0.147,0.18,-0.08,0.29,0.25,-0.03,0.22
0.15,0.24,-0.06,0.16,0.25,-0.03,0.22
0.15,0.24,-0.06,0.16,0.26,-0.03,0.21
0.15,0.24,-0.06,0.16,0.25,-0.03,0.21
0.152,0.24,-0.06,0.16,0.25,-0.03,0.20
0.154,0.26,-0.04,0.05,0.25,-0.03,0.20
0.155,0.26,-0.04,0.05,0.25,-0.03,0.20
0.156,0.30,0.01,0.01,0.25,-0.03,0.20
0.157,0.30,0.01,0.01,0.26,-0.03,0.20
0.158,0.30,0.01,0.01,0.25,-0.03,0.19
0.16,0.30,0.04,-0.04,0.25,-0.03,0.19
0.161,0.30,0.04,-0.04,0.25,-0.03,0.19
0.162,0.30,0.04,-0.04,0.25,-0.03,0.18
0.164,0.31,0.07,-0.07,0.25,-0.03,0.18
0.164,0.31,0.07,-0.07,0.25,-0.02,0.18
0.177,0.31,0.07,-0.07,0.24,-0.02,0.17
0.177,0.28,0.10,-0.13,0.24,-0.02,0.17
0.177,0.28,0.10,-0.13,0.24,-0.02,0.17
0.178,0.28,0.10,-0.13,0.24,-0.01,0.17
0.178,0.23,0.10,-0.17,0.24,-0.01,0.17
0.178,0.23,0.10,-0.17,0.24,-0.01,0.17
0.179,0.23,0.10,-0.17,0.23,-0.00,0.17
0.179,0.22,0.11,-0.23,0.23,-0.00,0.17
0.179,0.22,0.11,-0.23,0.23,0.00,0.17
0.18,0.22,0.11,-0.23,0.23,0.01,0.17
0.18,0.21,0.10,-0.27,0.23,0.01,0.17
0.181,0.21,0.10,-0.27,0.23,0.01,0.17
0.183,0.21,0.10,-0.27,0.23,0.02,0.17
0.184,0.26,0.10,-0.29,0.23,0.02,0.17
0.185,0.26,0.10,-0.29,0.23,0.02,0.17
0.186,0.26,0.10,-0.29,0.22,0.03,0.17
0.189,0.29,0.09,-0.27,0.22,0.03,0.17
0.189,0.29,0.09,-0.27,0.22,0.04,0.16
0.19,0.29,0.09,-0.27,0.22,0.04,0.17
0.192,0.30,0.08,-0.24,0.22,0.04,0.17
0.193,0.30,0.08,-0.24,0.22,0.05,0.16
0.194,0.30,0.08,-0.24,0.22,0.04,0.16
0.196,0.30,0.06,-0.22,0.22,0.04,0.16
0.197,0.30,0.06,-0.22,0.22,0.04,0.16
0.198,0.30,0.06,-0.22,0.22,0.04,0.16
0.202,0.31,0.04,-0.23,0.22,0.04,0.16
0.203,0.31,0.04,-0.23,0.22,0.04,0.16
0.203,0.31,0.04,-0.23,0.21,0.04,0.16
0.204,0.35,-0.04,-0.23,0.21,0.04,0.16
0.205,0.35,-0.04,-0.23,0.21,0.04,0.17
0.206,0.35,-0.04,-0.23,0.20,0.05,0.17
0.208,0.38,-0.11,-0.25,0.20,0.05,0.17
0.209,0.38,-0.11,-0.25,0.20,0.05,0.17
0.21,0.38,-0.11,-0.25,0.19,0.06,0.18
0.212,0.38,-0.19,-0.25,0.19,0.06,0.18
0.213,0.38,-0.19,-0.25,0.19,0.07,0.18
0.214,0.38,-0.19,-0.25,0.18,0.07,0.19
0.216,0.40,-0.24,-0.28,0.18,0.07,0.19
0.217,0.40,-0.24,-0.28,0.18,0.07,0.19
0.219,0.40,-0.24,-0.28,0.17,0.07,0.20
0.221,0.38,-0.32,-0.30,0.17,0.07,0.20
0.221,0.38,-0.32,-0.30,0.17,0.07,0.20
0.222,0.38,-0.32,-0.30,0.16,0.07,0.20
0.224,0.38,-0.32,-0.30,0.16,0.07,0.20
0.225,0.41,-0.38,-0.31,0.16,0.07,0.20
0.226,0.41,-0.38,-0.31,0.16,0.07,0.21
0.228,0.41,-0.41,-0.31,0.16,0.07,0.21
0.229,0.41,-0.41,-0.31,0.16,0.07,0.21
0.23,0.41,-0.41,-0.31,0.16,0.06,0.21
0.233,0.39,-0.39,-0.27,0.16,0.06,0.21
0.233,0.39,-0.39,-0.27,0.16,0.06,0.21
0.234,0.39,-0.39,-0.27,0.16,0.06,0.21
0.236,0.32,-0.35,-0.21,0.16,0.06,0.21
0.237,0.32,-0.35,-0.21,0.16,0.05,0.21
0.238,0.32,-0.35,-0.21,0.16,0.05,0.21
0.241,0.28,-0.29,-0.16,0.16,0.05,0.21
0.242,0.28,-0.29,-0.16,0.16,0.04,0.21
0.242,0.28,-0.29,-0.16,0.16,0.03,0.21
0.244,0.27,-0.23,-0.12,0.16,0.03,0.21
0.245,0.27,-0.23,-0.12,0.16,0.04,0.22
0.246,0.27,-0.23,-0.12,0.16,0.04,0.22
0.248,0.26,-0.16,-0.05,0.16,0.04,0.22
0.249,0.26,-0.16,-0.05,0.16,0.04,0.22
0.25,0.26,-0.16,-0.05,0.17,0.04,0.22
0.252,0.28,-0.08,-0.00,0.17,0.04,0.22
0.253,0.28,-0.08,-0.00,0.17,0.04,0.22
0.254,0.28,-0.08,-0.00,0.17,0.04,0.22
0.256,0.25,-0.03,0.03,0.17,0.04,0.22
0.257,0.25,-0.03,0.03,0.17,0.04,0.22
0.258,0.25,-0.03,0.03,0.17,0.04,0.22
0.26,0.21,0.04,0.05,0.17,0.04,0.22
0.261,0.21,0.04,0.05,0.18,0.03,0.22
0.262,0.21,0.04,0.05,0.17,0.03,0.22
0.264,0.17,0.07,0.05,0.17,0.03,0.22
0.264,0.17,0.07,0.05,0.18,0.02,0.21
0.278,0.17,0.07,0.05,0.18,0.01,0.21
0.278,0.18,0.05,0.05,0.18,0.01,0.21
0.279,0.18,0.05,0.05,0.18,-0.00,0.21
0.279,0.18,0.05,0.05,0.18,-0.02,0.21
0.279,0.20,0.03,0.05,0.18,-0.02,0.21
0.28,0.20,0.03,0.05,0.17,-0.02,0.20
0.28,0.20,0.03,0.05,0.17,-0.03,0.20
0.28,0.22,-0.03,0.07,0.17,-0.03,0.20
0.281,0.22,-0.03,0.07,0.17,-0.04,0.19
0.281,0.22,-0.03,0.07,0.17,-0.05,0.19
0.281,0.26,-0.09,0.08,0.17,-0.05,0.19
0.281,0.26,-0.09,0.08,0.17,-0.05,0.18
0.283,0.26,-0.09,0.08,0.17,-0.06,0.18
0.284,0.28,-0.15,0.07,0.17,-0.06,0.18
0.284,0.28,-0.15,0.07,0.17,-0.07,0.18
0.286,0.28,-0.15,0.07,0.17,-0.08,0.17
0.288,0.29,-0.22,0.04,0.17,-0.08,0.17
0.289,0.29,-0.22,0.04,0.17,-0.09,0.17
0.29,0.29,-0.22,0.04,0.18,-0.09,0.17
0.292,0.32,-0.28,0.02,0.18,-0.09,0.17
0.293,0.32,-0.28,0.02,0.18,-0.10,0.16
0.294,0.32,-0.28,0.02,0.18,-0.10,0.16
0.296,0.36,-0.35,-0.02,0.18,-0.10,0.16
0.296,0.36,-0.35,-0.02,0.18,-0.10,0.15
0.298,0.36,-0.35,-0.02,0.17,-0.10,0.15
0.302,0.36,-0.35,-0.02,0.17,-0.10,0.15
0.303,0.35,-0.42,-0.06,0.17,-0.10,0.15
0.303,0.35,-0.42,-0.06,0.17,-0.11,0.15
0.304,0.34,-0.48,-0.09,0.17,-0.11,0.15
0.305,0.34,-0.48,-0.09,0.17,-0.12,0.14
0.306,0.34,-0.48,-0.09,0.17,-0.13,0.14
0.308,0.35,-0.52,-0.13,0.17,-0.13,0.14
0.309,0.35,-0.52,-0.13,0.17,-0.14,0.13
0.31,0.35,-0.52,-0.13,0.17,-0.15,0.13
0.312,0.39,-0.62,-0.16,0.17,-0.15,0.13
0.313,0.39,-0.62,-0.16,0.17,-0.17,0.12
0.314,0.39,-0.62,-0.16,0.17,-0.19,0.11
0.316,0.42,-0.67,-0.20,0.17,-0.19,0.11
0.317,0.42,-0.67,-0.20,0.17,-0.20,0.10
0.318,0.42,-0.67,-0.20,0.17,-0.22,0.10
0.32,0.46,-0.68,-0.21,0.17,-0.22,0.10
0.321,0.46,-0.68,-0.21,0.17,-0.24,0.09
0.322,0.46,-0.68,-0.21,0.16,-0.25,0.09
0.324,0.48,-0.67,-0.20,0.16,-0.25,0.09
0.324,0.48,-0.67,-0.20,0.16,-0.26,0.08
0.326,0.48,-0.67,-0.20,0.16,-0.27,0.07
0.328,0.50,-0.61,-0.20,0.16,-0.27,0.07
0.328,0.50,-0.61,-0.20,0.16,-0.28,0.07
0.33,0.50,-0.61,-0.20,0.16,-0.28,0.07
0.333,0.52,-0.55,-0.18,0.16,-0.28,0.07
0.334,0.52,-0.55,-0.18,0.17,-0.29,0.06
0.334,0.52,-0.55,-0.18,0.17,-0.29,0.06
0.336,0.51,-0.47,-0.13,0.17,-0.29,0.06
0.337,0.51,-0.47,-0.13,0.17,-0.29,0.06
0.338,0.51,-0.47,-0.13,0.17,-0.29,0.05
0.34,0.52,-0.41,-0.11,0.17,-0.29,0.05
0.34,0.52,-0.41,-0.11,0.17,-0.29,0.05
0.342,0.52,-0.41,-0.11,0.17,-0.28,0.05
0.344,0.50,-0.36,-0.08,0.17,-0.28,0.05
0.344,0.50,-0.36,-0.08,0.18,-0.28,0.04
0.346,0.50,-0.36,-0.08,0.18,-0.26,0.04
0.348,0.49,-0.30,-0.06,0.18,-0.26,0.04
0.348,0.49,-0.30,-0.06,0.18,-0.25,0.03
0.35,0.49,-0.30,-0.06,0.19,-0.24,0.03
0.352,0.45,-0.27,-0.02,0.19,-0.24,0.03
0.352,0.45,-0.27,-0.02,0.19,-0.23,0.03
0.354,0.45,-0.27,-0.02,0.19,-0.21,0.03
0.356,0.34,-0.23,0.01,0.19,-0.21,0.03
0.357,0.34,-0.23,0.01,0.20,-0.19,0.03
0.358,0.34,-0.23,0.01,0.21,-0.18,0.03
0.36,0.25,-0.26,0.05,0.21,-0.18,0.03
0.36,0.25,-0.26,0.05,0.21,-0.15,0.04
0.362,0.25,-0.26,0.05,0.22,-0.13,0.04
0.364,0.17,-0.32,0.08,0.22,-0.13,0.04
0.364,0.17,-0.32,0.08,0.22,-0.10,0.04
0.377,0.17,-0.32,0.08,0.23,-0.07,0.05
0.378,0.17,-0.32,0.08,0.24,-0.04,0.06
0.379,0.10,-0.40,0.15,0.24,-0.04,0.06
0.379,0.10,-0.40,0.15,0.25,-0.01,0.06
0.379,0.09,-0.50,0.18,0.25,-0.01,0.06
0.382,0.09,-0.50,0.18,0.26,0.02,0.07
0.382,0.09,-0.50,0.18,0.28,0.05,0.07
0.383,0.12,-0.58,0.23,0.28,0.05,0.07
0.383,0.12,-0.58,0.23,0.29,0.08,0.07
0.383,0.12,-0.58,0.23,0.31,0.11,0.07
0.384,0.21,-0.63,0.24,0.31,0.11,0.07
0.384,0.21,-0.63,0.24,0.32,0.13,0.06
0.384,0.21,-0.63,0.24,0.34,0.16,0.06
0.384,0.21,-0.63,0.24,0.35,0.19,0.05
0.385,0.33,-0.65,0.28,0.35,0.19,0.05
0.387,0.33,-0.65,0.28,0.37,0.21,0.04
0.388,0.47,-0.63,0.30,0.37,0.21,0.04
0.388,0.47,-0.63,0.30,0.39,0.24,0.03
0.39,0.47,-0.63,0.30,0.40,0.27,0.02
0.392,0.59,-0.59,0.31,0.40,0.27,0.02
0.393,0.59,-0.59,0.31,0.42,0.29,0.00
0.394,0.59,-0.59,0.31,0.43,0.32,-0.01
0.396,0.59,-0.59,0.31,0.44,0.34,-0.03
0.396,0.68,-0.53,0.31,0.44,0.34,-0.03
0.398,0.68,-0.53,0.31,0.45,0.36,-0.04
0.403,0.68,-0.53,0.31,0.47,0.37,-0.06
0.404,0.75,-0.49,0.29,0.47,0.37,-0.06
0.405,0.75,-0.49,0.29,0.48,0.39,-0.07
0.405,0.81,-0.48,0.27,0.48,0.39,-0.07
0.405,0.81,-0.48,0.27,0.49,0.39,-0.10
0.406,0.81,-0.48,0.27,0.50,0.40,-0.11
0.408,0.88,-0.49,0.21,0.50,0.40,-0.11
0.408,0.88,-0.49,0.21,0.51,0.41,-0.13
0.41,0.88,-0.49,0.21,0.52,0.41,-0.14
0.412,0.94,-0.53,0.16,0.52,0.41,-0.14
0.412,0.94,-0.53,0.16,0.52,0.41,-0.15
0.414,0.94,-0.53,0.16,0.53,0.41,-0.17
0.416,0.93,-0.57,0.09,0.53,0.41,-0.17
0.417,0.93,-0.57,0.09,0.54,0.40,-0.18
0.417,0.93,-0.57,0.09,0.54,0.40,-0.19
0.42,0.88,-0.63,0.03,0.54,0.40,-0.19
0.42,0.88,-0.63,0.03,0.55,0.38,-0.20
0.422,0.88,-0.63,0.03,0.55,0.38,-0.21
0.424,0.74,-0.68,-0.01,0.55,0.38,-0.21
0.424,0.74,-0.68,-0.01,0.55,0.38,-0.22
0.425,0.74,-0.68,-0.01,0.55,0.37,-0.22
0.428,0.56,-0.75,-0.07,0.55,0.37,-0.22
0.428,0.56,-0.75,-0.07,0.55,0.36,-0.22
